"Homo.L.arginine","Nos1","score","Achromobacter_spanius"
4.436,0.01,0.652212468,358
4.444,0.03,0.455524872,33
4.026,0.03,0.587710074,153
3.367,0.04,0.343870362,240
3.706,0.01,0.617525208,194
3.318,0.01,0.468545045,39
3.813,0.03,0.32572039,418
4.98,0.01,0.151202718,2743
5.185,0.41,0.169667915,844
4.905,0.02,0.081781953,1199
4.3,0.02,0.108191038,468
4.387,0.01,0.155241935,191
4.684,0.03,0.027210794,505
3.559,0,0.228074532,862
4.827,0.01,0.125,1363
4.818,0.03,-0.025960462,1803
4.708,3.86,-0.019155056,337
4.539,0.01,-0.076889241,1102
